model,fit_time,params,f1_score_micro,f1_score_weighted,precision_score_weighted,recall_score_weighted,accuracy_score,balanced_accuracy_score
SVC,3.9293839931488037,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': False, 'random_state': 1234, 'shrinking': True, 'tol': 0.001, 'verbose': False}",0.8708384710234278,0.8107163225049214,0.7583596426144217,0.8708384710234278,0.8708384710234278,0.2
RandomForestClassifier,2.2658448219299316,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 150, 'n_jobs': None, 'oob_score': False, 'random_state': 1234, 'verbose': 0, 'warm_start': False}",0.8705302096177558,0.8116836550932363,0.7685880961417739,0.8705302096177558,0.8705302096177558,0.21228761061946902
GradientBoostingClassifier,17.59069037437439,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.01, 'loss': 'deviance', 'max_depth': 1, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 500, 'n_iter_no_change': None, 'random_state': 0, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",0.8705302096177558,0.8105629011767174,0.7583249590410609,0.8705302096177558,0.8705302096177558,0.19992920353982302
DummyClassifier,,"{'constant': None, 'random_state': 13, 'strategy': 'stratified'}",0.7641800246609125,0.7639767748384216,0.7637853077143267,0.7641800246609125,0.7641800246609125,0.19557624234172907
