model,fit_time,params,f1_score_micro,f1_score_weighted,precision_score_weighted,recall_score_weighted,accuracy_score,balanced_accuracy_score
RandomForestClassifier,0.928351640701294,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 150, 'n_jobs': None, 'oob_score': False, 'random_state': 1234, 'verbose': 0, 'warm_start': False}",1.0,1.0,1.0,1.0,1.0,1.0
GradientBoostingClassifier,20.757771253585815,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.01, 'loss': 'deviance', 'max_depth': 1, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 500, 'n_iter_no_change': None, 'random_state': 0, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",1.0,1.0,1.0,1.0,1.0,1.0
SVC,1.0852909088134766,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': False, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False}",0.9975339087546239,0.9975073687398411,0.9975408726550697,0.9975339087546239,0.9975339087546239,0.9727452904238619
DummyClassifier,,"{'constant': None, 'random_state': 13, 'strategy': 'stratified'}",0.7641800246609125,0.7639767748384216,0.7637853077143267,0.7641800246609125,0.7641800246609125,0.19557624234172907
