,superficie,lat,lng,time_ctrl,personal,medios,TMEDIA,RACHA,SOL,Año,PRES_RANGE,target
63,3.5,42.786588,-8.648783,3.0,6,1,17.1,15.0,13.2,2001,2.69999999999993,1
64,2.6,42.845404,-8.623962,4.0,9,2,16.3,6.4,7.1,2001,4.59999999999991,1
65,1.0,43.612623,-8.099574,1.35,5,2,16.3,6.4,7.1,2001,4.59999999999991,1
66,1.0,43.534708,-8.185687,1.1,7,2,15.2,6.4,11.1,2001,6.39999999999998,1
67,3.0,43.291593,-8.495562,1.25,18,2,17.4,12.5,7.6,2001,2.40000000000009,1
68,1.5,42.997438,-8.682929,1.35,15,2,18.4,10.6,3.8,2001,1.79999999999995,1
69,3.0,42.572775,-8.990898,3.25,11,3,21.0,5.3,13.1,2001,4.5,1
70,1.5,43.068876,-8.926821,1.25,5,2,21.0,5.3,13.1,2001,4.5,1
71,3.0,42.854833,-8.567981,3.25,15,2,22.7,8.1,13.4,2001,2.10000000000002,1
72,2.5,42.903258,-8.81752,3.15,4,1,22.7,8.1,13.4,2001,2.10000000000002,1
73,1.35,43.05101,-8.328803,2.4,10,1,22.7,8.1,13.4,2001,2.10000000000002,1
74,1.22,42.572775,-8.990898,1.45,8,3,22.7,8.1,13.4,2001,2.10000000000002,1
75,2.5,43.159789,-7.980296,4.05,19,3,16.9,7.5,10.0,2001,1.79999999999995,1
76,2.0,42.550215,-9.015749,1.55,12,2,16.9,7.5,10.0,2001,1.79999999999995,1
77,1.1,43.567613,-8.219855,1.45,9,2,16.9,7.5,10.0,2001,1.79999999999995,1
78,3.05,43.473549,-8.287918,2.45,17,5,16.9,7.5,10.0,2001,1.79999999999995,1
79,1.0,43.057578,-8.547833,0.45,5,1,16.2,6.4,0.5,2001,2.39999999999998,1
80,3.5,42.845404,-8.623962,1.2,17,3,16.2,6.4,0.5,2001,2.39999999999998,1
81,2.2,43.090275,-8.772107,1.5,10,1,17.8,13.1,10.3,2001,1.80000000000007,1
82,1.0,42.860227,-8.804536,2.25,11,2,17.8,13.1,10.3,2001,1.80000000000007,1
83,1.3,43.096447,-8.175458,2.35,1,1,18.2,7.5,13.2,2001,3.5,1
84,5.5,43.030576,-8.313216,3.4,6,2,18.2,7.5,13.2,2001,3.5,1
85,1.15,43.549187,-8.250286,1.45,10,4,18.2,7.5,13.2,2001,3.5,2
86,1.0,42.76328,-8.74306,1.1,33,1,18.2,7.5,13.2,2001,3.5,2
87,2.5,42.797346,-8.681299,2.35,2,2,18.2,7.5,13.2,2001,3.5,2
88,1.3,42.788592,-8.608497,2.5,11,0,18.2,7.5,13.2,2001,3.5,1
89,2.0,42.765558,-8.647949,2.45,3,2,18.2,7.5,13.2,2001,3.5,1
90,3.0,42.916127,-8.648048,3.4,11,4,18.2,7.5,13.2,2001,3.5,1
91,1.2,42.955292,-8.071765,3.25,6,2,17.8,9.2,8.5,2001,4.79999999999995,1
92,1.0,42.993181,-7.966212,1.45,6,2,17.8,9.2,8.5,2001,4.79999999999995,1
93,2.5,43.123248,-9.058135,1.4,5,1,19.6,6.4,13.5,2001,1.29999999999995,1
94,1.0,42.822663,-8.958553,2.4,5,2,19.6,7.5,9.3,2001,2.30000000000007,1
95,3.0,43.053519,-8.240377,2.15,6,1,19.6,7.5,9.3,2001,2.30000000000007,1
96,1.0,42.671189,-8.786446,1.25,11,2,19.6,7.5,9.3,2001,2.30000000000007,1
97,4.2,43.473549,-8.287918,3.05,14,4,19.0,11.4,8.8,2001,2.10000000000002,1
98,2.4,42.823895,-8.992317,2.5,19,2,19.0,11.4,8.8,2001,2.10000000000002,1
99,1.4,43.294409,-8.428069,1.3,15,2,19.0,11.4,8.8,2001,2.10000000000002,1
100,1.3,42.572775,-8.990898,2.0,8,1,19.0,11.4,8.8,2001,2.10000000000002,1
101,2.0,42.845404,-8.623962,1.5,11,2,22.6,7.2,13.0,2001,5.59999999999991,1
102,3.0,43.590545,-8.201348,1.3,18,4,22.6,7.2,13.0,2001,5.59999999999991,1
103,2.0,43.501867,-8.287932,1.05,13,1,22.6,7.2,13.0,2001,5.59999999999991,3
104,2.2,43.473549,-8.287918,1.3,12,2,22.6,7.2,13.0,2001,5.59999999999991,1
105,1.5,43.04568,-9.033727,1.3,5,3,22.6,7.2,13.0,2001,5.59999999999991,1
106,3.5,42.754604,-8.618866,2.0,21,3,22.6,7.2,13.0,2001,5.59999999999991,1
107,2.5,42.786588,-8.648783,1.25,10,1,22.6,7.2,13.0,2001,5.59999999999991,1
108,2.0,43.452291,-8.29106,1.35,16,4,22.6,7.2,13.0,2001,5.59999999999991,1
109,2.0,42.863526,-8.719067,3.55,10,2,20.7,11.4,11.7,2001,3.0,1
110,1.25,43.061992,-8.871319,1.55,9,1,20.7,11.4,11.7,2001,3.0,1
111,2.0,42.626273,-9.034524,1.2,7,1,20.7,11.4,11.7,2001,3.0,1
112,1.0,43.291593,-8.495562,2.35,21,3,19.0,9.2,4.2,2001,5.69999999999993,2
113,2.6,42.788592,-8.608497,1.45,16,1,19.2,10.0,3.2,2001,2.60000000000002,1
114,4.0,43.30714,-8.463079,3.3,21,3,20.0,12.5,4.6,2001,3.39999999999998,2
115,2.5,42.673902,-8.91086,1.1,6,2,18.3,10.0,1.6,2001,1.10000000000002,1
116,3.0,42.752862,-8.880832,3.5,23,5,19.6,7.5,5.0,2001,2.69999999999993,2
117,1.2,42.673902,-8.91086,2.05,23,1,20.9,15.6,11.6,2001,1.80000000000007,1
118,1.2,43.074649,-9.055546,3.15,14,2,20.9,15.6,11.6,2001,1.80000000000007,1
119,1.5,43.193217,-8.386887,1.05,21,3,20.9,15.6,11.6,2001,1.80000000000007,1
120,1.5,42.786588,-8.648783,0.5,10,2,20.9,15.6,11.6,2001,1.80000000000007,1
121,1.3,43.590545,-8.201348,0.5,18,3,20.9,15.6,11.6,2001,1.80000000000007,1
122,1.3,43.30714,-8.463079,2.0,13,3,21.2,10.3,10.6,2001,1.39999999999998,1
123,1.0,43.513472,-8.237342,2.2,25,4,21.2,10.3,10.6,2001,1.39999999999998,1
124,1.57,42.642678,-9.007319,2.5,31,2,20.4,11.9,7.5,2001,6.69999999999993,1
125,1.0,43.567613,-8.219855,3.35,6,2,20.4,11.9,7.5,2001,6.69999999999993,1
126,2.7,43.562647,-8.176841,2.55,11,1,20.4,11.9,7.5,2001,6.69999999999993,1
127,3.0,43.229093,-8.256512,3.35,16,2,21.2,12.2,10.7,2001,2.40000000000009,1
128,1.35,42.903258,-8.81752,2.2,11,1,21.2,12.2,10.7,2001,2.40000000000009,1
129,1.0,43.515554,-8.137555,1.25,6,1,19.2,10.0,6.2,2001,4.59999999999991,1
130,3.5,43.080238,-9.149947,1.53,24,4,17.7,6.1,12.2,2001,3.69999999999993,1
131,2.5,43.026913,-8.741116,1.55,11,2,20.8,13.3,0.9,2001,5.70000000000005,1
132,1.2,43.191468,-9.036306,2.0,10,1,20.8,13.3,0.9,2001,5.70000000000005,1
133,2.7,43.266033,-8.442185,2.4,13,2,20.8,13.3,0.9,2001,5.70000000000005,1
134,2.0,42.791858,-8.570143,1.55,16,2,19.0,9.7,11.1,2001,6.0,1
135,3.5,42.673902,-8.91086,1.3,22,3,19.6,13.3,12.7,2001,1.30000000000007,1
136,1.4,43.124887,-8.833016,3.15,10,2,19.6,13.3,12.7,2001,1.30000000000007,1
137,1.4,43.240732,-8.670253,2.2,22,4,20.9,6.7,12.8,2001,3.29999999999995,2
138,1.5,43.076461,-9.204368,2.15,21,5,20.9,6.7,12.8,2001,3.29999999999995,1
139,2.0,42.837542,-8.664463,2.1,27,5,20.9,6.7,12.8,2001,3.29999999999995,1
140,1.22,42.95347,-8.862045,1.1,11,2,20.9,6.7,12.8,2001,3.29999999999995,1
141,3.0,42.802734,-8.589146,2.2,24,4,20.9,6.7,12.8,2001,3.29999999999995,1
142,2.0,43.513472,-8.237342,3.55,11,2,18.8,8.3,12.9,2001,3.5,1
143,3.7,43.513472,-8.237342,4.1,10,1,18.8,8.3,12.9,2001,3.5,1
144,8.0,42.802734,-8.589146,2.4,29,5,18.8,8.3,12.9,2001,3.5,1
145,6.5,43.124887,-8.833016,3.45,22,3,18.8,8.3,12.9,2001,3.5,1
146,1.0,43.034146,-8.254843,1.1,6,1,20.0,8.9,12.0,2001,5.59999999999991,1
